Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code,Email,pricingParentId
,SNOOZE EATERY 506,7012 W. 135th St.,,,Kansas City,KS,66223,,91,1011,,,9001236
,SNOOZE EATERY 419,711 University Dr. Ste#400,,,Houston,TX,77840,,91,1011,,,9001236
,SNOOZE EATERY 602,2041 South Blvd,,,Atlanta (Revive Storage),NC,28203,,91,1011,,,9001236
,SNOOZE EATERY 701,4600 Roswell Road,,,Atlanta (Revive Storage),GA,30342,,91,1011,,,9001236
,SNOOZE EATERY 505,4144 Broadway Boulevard,,,Kansas City,MO,64111,,91,1011,,,9001236
,SNOOZE EATERY 412,1109 East 5th St,,,Austin (Revive Storage),TX,78702,,91,1011,,,9001236
,SNOOZE EATERY 601,1331 Central Ave,,,Atlanta (Revive Storage),NC,28205,,91,1011,,,9001236
,SNOOZE EATERY 110,14345 Orchard Parkway,,,Denver,CO,80023,,91,1011,,,9001236
,SNOOZE EATERY 416,2415 Research Forest Drive,,,The Woodlands,TX,77381,,91,1011,,,9001236
,SNOOZE EATERY 111,7587 N. Academy Blvd,,,Colorado Springs,CO,80920,,91,1011,,,9001236
,SNOOZE EATERY 414,11255 Huebner Rd,,,San Antonio,TX,78230,,91,1011,,,9001236
,SNOOZE EATERY 415,3211 Oak Lawn Avenue,,,Dallas,TX,76107,,91,1011,,,9001236
,SNOOZE EATERY 410,"820 Bay Area Blvd Webster,",,,Houston,TX,77598,,91,1011,,,9001236
,SNOOZE EATERY 407,5100 Belt Line Rd,,,Addison,TX,75254,,91,1011,,,9001236
,SNOOZE EATERY 413,5000 Westheimer,,,Houston,TX,77056,,91,1011,,,9001236
,SNOOZE EATERY 411,2150 West 7th Street,,,Dallas,TX,76107,,91,1011,,,9001236
,SNOOZE EATERY 409,8041 Walnut Hill Lane,,,Dallas,TX,75231,,91,1011,,,9001236
,SNOOZE EATERY 408,1305 N. Loop 1604,,,San Antonio,TX,78258,,91,1011,,,9001236
,SNOOZE EATERY 106,1701 Wynkoop,,,Denver,CO,80202,,91,1011,,,9001236
,SNOOZE EATERY 104,6781 S. York St,,,Centennial,CO,80122,,91,1011,,,9001236
,SNOOZE EATERY 403,255 East Basse Road,,,San Antonio,TX,78209,,91,1011,,,9001236
,SNOOZE EATERY 107,10002 Commons St,,,Denver,CO,80124,,91,1011,,,9001236
,SNOOZE EATERY 405,718 W. 18th St,,,Houston,TX,77008,,91,1011,,,9001236
,SNOOZE EATERY 501,3217 Montrose Blvd,,,Houston,TX,77006,,91,1011,,,9001236
,SNOOZE EATERY 404,600 West Sam Houston Pkwy N,,,Houston,TX,77024,,91,1011,,,9001236
,SNOOZE EATERY 103,144 W. Mountian Ave,,,Ft Collins,CO,80524,,91,1011,,,9001236
,SNOOZE EATERY 109,5073 S. Syracuse St,,,Denver,CO,80237,,91,1011,,,9001236
,SNOOZE EATERY 406,23501 Cinco Ranch Blvd,,,Katy,TX,77494,,91,1011,,,9001236
,SNOOZE EATERY 101,2262 Larimer St,,,Denver,CO,80205,,91,1011,,,9001236
,SNOOZE EATERY 402,1700 South Lamar Blvd,,,Austin (Revive Storage),TX,78704,,91,1011,,,9001236
,SNOOZE EATERY 401,3800 North Lamar Blvd,,,Austin (Revive Storage),TX,78756,,91,1011,,,9001236
,SNOOZE EATERY 102,700 N Colorado Blvd,,,Denver,CO,80206,,91,1011,,,9001236
,SNOOZE EATERY 602,2041 South Blvd,,,Atlanta (Revive Storage),NC,28203,,91,1011,,,9001236
,SNOOZE EATERY 601,1331 Central Ave,,,Atlanta (Revive Storage),NC,28205,,91,1011,,,9001236
,SNOOZE EATERY 404,600 West Sam Houston Pkwy N,,,Houston,TX,77024,,91,1011,,,9001236
